,Churn,Longevity,TypeTravel,RoomType,RewardPoints,Comfort,ReceptionSchedule,FoodDrink,Location,Wifi,Amenities,Staff,OnlineBooking,PriceQuality,RoomSpace,CheckOut,Checkin,Cleanliness,BarService,Age,Gender,avg_satisfaction,avg_accomodation,avg_reception,avg_catering,avg_key_factors,RewardPoints_bins,Age_bin
16,churn,no,business,single,5756.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,40,M,4.0,4.0,4.2,4.0,3.5,2,Mid_adult
17,churn,yes,leisure,double,5229.0,2.0,3.0,2.0,2.0,5.0,2.0,5.0,5.0,1.0,2.0,3.0,4.0,3.0,5.0,60,M,3.142857142857143,2.8,4.0,3.5,1.5,2,Older_adult
18,churn,no,business,single,5466.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,27,F,2.7857142857142856,2.6,3.0,2.0,3.5,2,Young_adult
19,nochurn,yes,business,single,4299.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,40,F,2.642857142857143,2.6,3.0,2.5,2.0,1,Mid_adult
20,churn,yes,business,double,5577.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,42,M,2.7857142857142856,2.8,3.0,2.5,2.5,2,Mid_adult
21,nochurn,yes,business,single,5722.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,43,M,3.2857142857142856,3.0,3.6,3.0,3.5,2,Mid_adult
22,churn,yes,leisure,double,4692.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,4.0,59,M,3.0714285714285716,2.8,2.8,3.0,4.5,1,Older_adult
23,churn,yes,leisure,double,5274.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,26,M,3.7142857142857144,3.0,4.4,3.0,4.5,2,Young_adult
24,churn,yes,business,single,3076.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,52,M,3.142857142857143,3.2,3.4,2.5,3.0,1,Mid_adult
25,churn,no,business,double,5739.0,2.0,0.0,2.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,4.0,5.0,38,F,2.9285714285714284,2.8,3.4,3.5,1.5,2,Mid_adult
26,churn,yes,leisure,double,4424.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,65,M,3.4285714285714284,3.6,3.2,3.5,3.5,1,Older_adult
27,nochurn,yes,leisure,double,4760.0,0.0,5.0,0.0,3.0,5.0,0.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,41,F,3.357142857142857,2.6,4.4,2.5,3.5,1,Mid_adult
28,churn,no,business,single,4680.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,36,M,3.5,3.4,3.6,3.5,3.5,1,Mid_adult
29,churn,yes,leisure,double,5021.0,2.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,2.0,5.0,48,M,3.4285714285714284,2.8,4.2,4.0,2.5,2,Mid_adult
30,churn,yes,business,double,4404.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,41,M,2.7857142857142856,2.6,3.0,2.5,3.0,1,Mid_adult
31,churn,no,business,suite,5165.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,39,F,3.4285714285714284,3.4,3.2,4.0,3.5,2,Mid_adult
32,churn,yes,leisure,double,5083.0,2.0,1.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,1.0,4.0,1.0,4.0,5.0,67,M,3.142857142857143,2.8,3.2,3.5,3.5,2,Older_adult
33,churn,no,business,double,5222.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,44,M,2.0,2.4,1.4,1.5,3.0,2,Mid_adult
34,nochurn,no,business,double,5133.0,4.0,0.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,24,F,3.857142857142857,4.0,3.8,4.5,3.0,2,Young_adult
35,churn,yes,leisure,single,5254.0,3.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,26,M,3.5,3.4,3.6,4.0,3.0,2,Young_adult
36,churn,yes,leisure,double,6523.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,57,F,3.7142857142857144,3.8,4.0,3.5,3.0,2,Older_adult
37,nochurn,yes,business,single,5608.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,52,M,3.357142857142857,3.6,3.6,2.5,3.0,2,Mid_adult
38,nochurn,yes,business,single,5067.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,49,M,3.2142857142857144,3.4,3.6,2.5,2.5,2,Mid_adult
39,nochurn,yes,business,single,6578.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,44,F,3.857142857142857,4.0,3.8,4.0,3.5,2,Mid_adult
40,churn,no,business,single,5371.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,3.0,4.0,1.0,55,F,2.5714285714285716,2.8,2.2,1.5,4.0,2,Mid_adult
41,nochurn,no,business,double,6001.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,25,M,2.857142857142857,2.2,3.6,1.0,4.5,2,Young_adult
42,nochurn,yes,business,single,5219.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,44,F,2.857142857142857,2.8,3.0,3.0,2.5,2,Mid_adult
43,churn,yes,business,single,3578.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,40,M,2.857142857142857,2.6,2.6,3.5,3.5,1,Mid_adult
44,nochurn,yes,business,single,6099.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,57,F,4.642857142857143,4.8,4.6,4.0,5.0,2,Older_adult
45,nochurn,yes,business,single,5072.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,44,M,3.357142857142857,4.0,3.6,1.5,3.0,2,Mid_adult
46,churn,yes,leisure,double,4333.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,23,M,3.0714285714285716,3.0,3.2,3.5,2.5,1,Young_adult
47,nochurn,yes,business,single,2426.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,30,F,3.2857142857142856,3.4,3.6,3.0,2.5,0,Young_adult
48,nochurn,yes,business,double,4883.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,42,F,3.7142857142857144,4.0,4.2,3.5,2.0,2,Mid_adult
49,nochurn,yes,business,single,6692.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,38,F,3.142857142857143,3.4,3.0,2.0,4.0,2,Mid_adult
50,nochurn,yes,business,single,6525.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,52,M,3.0714285714285716,3.0,3.4,3.0,2.5,2,Mid_adult
51,nochurn,yes,business,single,5560.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,60,F,3.7142857142857144,4.2,3.8,2.5,3.5,2,Older_adult
52,nochurn,yes,business,single,6088.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,49,F,4.357142857142857,3.8,4.6,5.0,4.5,2,Mid_adult
53,churn,yes,leisure,double,3972.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,63,M,2.857142857142857,3.0,3.2,1.5,3.0,1,Older_adult
54,churn,yes,leisure,suite,5216.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,2.0,5.0,46,M,3.9285714285714284,3.0,4.4,4.0,5.0,2,Mid_adult
55,nochurn,yes,leisure,double,6587.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,44,F,4.428571428571429,4.8,4.4,5.0,3.0,2,Mid_adult
56,churn,no,business,double,4983.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,27,M,3.0714285714285716,3.2,2.8,4.0,2.5,2,Young_adult
57,churn,yes,business,double,5958.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,58,M,2.142857142857143,2.6,2.2,1.5,1.5,2,Older_adult
58,churn,yes,leisure,single,4258.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,34,M,3.857142857142857,3.4,4.4,3.5,4.0,1,Young_adult
59,churn,no,business,single,4754.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,50,F,3.7857142857142856,3.8,3.8,4.0,3.5,1,Mid_adult
60,churn,yes,leisure,double,4597.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,52,M,3.142857142857143,3.0,3.0,3.0,4.0,1,Mid_adult
61,nochurn,yes,business,single,4925.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,51,M,4.428571428571429,4.2,4.4,4.5,5.0,2,Mid_adult
62,churn,yes,leisure,double,5364.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,1.0,34,M,2.7142857142857144,2.8,3.0,1.5,3.0,2,Young_adult
63,nochurn,yes,business,single,5761.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40,F,4.142857142857143,4.4,4.0,4.0,4.0,2,Mid_adult
64,nochurn,yes,business,single,3056.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,43,F,2.357142857142857,2.6,2.4,2.5,1.5,1,Mid_adult
65,nochurn,yes,business,single,3946.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,25,F,3.9285714285714284,4.0,4.2,3.5,3.5,1,Young_adult
66,nochurn,yes,business,double,6662.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,57,F,4.357142857142857,4.0,4.4,5.0,4.5,2,Older_adult
67,nochurn,yes,business,single,4153.0,0.0,5.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,51,M,1.5714285714285714,1.4,1.8,1.5,1.5,1,Mid_adult
68,nochurn,yes,business,single,3258.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,38,F,3.142857142857143,3.4,3.4,2.0,3.0,1,Mid_adult
69,nochurn,yes,business,single,6659.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,61,F,3.4285714285714284,3.6,3.8,2.0,3.5,2,Older_adult
70,churn,yes,leisure,double,5101.0,3.0,3.0,0.0,3.0,0.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,41,M,2.857142857142857,2.4,3.8,2.5,2.0,2,Mid_adult
71,nochurn,yes,business,single,4898.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,36,M,4.0,4.2,4.2,3.0,4.0,2,Mid_adult
72,churn,no,business,single,5318.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,3.0,39,F,3.5714285714285716,3.6,3.8,3.5,3.0,2,Mid_adult
73,churn,yes,leisure,double,5671.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0,4.0,40,M,3.142857142857143,3.2,3.2,3.0,3.0,2,Mid_adult
74,churn,yes,business,single,4586.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,45,F,3.0,2.2,3.2,3.5,4.0,1,Mid_adult
75,nochurn,yes,leisure,double,4971.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,42,F,3.857142857142857,4.4,3.8,2.5,4.0,2,Mid_adult
76,nochurn,yes,business,single,6643.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,40,F,4.214285714285714,4.4,4.6,3.0,4.0,2,Mid_adult
77,churn,yes,leisure,double,6403.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,53,F,3.4285714285714284,3.6,3.0,3.0,4.5,2,Mid_adult
78,nochurn,yes,business,single,6606.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,37,F,3.7857142857142856,4.2,3.4,3.5,4.0,2,Mid_adult
79,churn,yes,leisure,single,3827.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,2.0,20,M,3.2142857142857144,2.8,3.6,2.5,4.0,1,Young_adult
80,nochurn,yes,business,single,6538.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,60,M,3.2142857142857144,3.2,3.6,3.0,2.5,2,Older_adult
81,churn,yes,business,suite,4769.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,29,M,3.2142857142857144,3.4,3.0,3.5,3.0,1,Young_adult
82,churn,yes,business,single,4650.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,24,M,2.857142857142857,2.6,3.0,2.5,3.5,1,Young_adult
83,nochurn,yes,leisure,double,5410.0,0.0,4.0,0.0,2.0,3.0,0.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,3.0,65,M,2.2857142857142856,1.6,3.6,1.5,1.5,2,Older_adult
84,nochurn,yes,business,double,4513.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,40,F,3.0714285714285716,3.2,3.2,3.5,2.0,1,Mid_adult
85,nochurn,yes,business,single,4322.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,37,M,3.7857142857142856,3.8,4.0,4.5,2.5,1,Mid_adult
86,nochurn,yes,business,double,6945.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,65,F,2.4285714285714284,2.8,1.8,3.5,2.0,2,Older_adult
87,churn,yes,business,single,6176.0,1.0,2.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,47,M,2.0714285714285716,2.2,2.2,2.0,1.5,2,Mid_adult
88,churn,yes,leisure,double,5399.0,3.0,5.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,63,F,3.5,3.4,4.0,4.0,2.0,2,Older_adult
89,churn,yes,business,single,6107.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,40,F,3.0,3.0,2.6,3.5,3.5,2,Mid_adult
90,nochurn,yes,leisure,double,4594.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,30,F,3.7857142857142856,4.2,3.8,3.0,3.5,1,Young_adult
91,churn,yes,leisure,double,5611.0,4.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,45,F,2.0714285714285716,2.4,1.8,2.5,1.5,2,Mid_adult
92,churn,yes,leisure,double,5075.0,4.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,46,M,4.214285714285714,3.8,5.0,4.5,3.0,2,Mid_adult
93,nochurn,yes,leisure,double,6624.0,4.0,5.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,4.0,5.0,65,F,3.4285714285714284,3.2,3.6,3.0,4.0,2,Older_adult
94,churn,no,business,single,4444.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,36,M,3.9285714285714284,3.4,4.4,4.0,4.0,1,Mid_adult
95,churn,yes,leisure,double,6444.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,44,F,3.857142857142857,4.0,4.2,3.5,3.0,2,Mid_adult
96,churn,yes,leisure,suite,4456.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,2.0,67,M,2.7857142857142856,2.4,3.4,1.5,3.5,1,Older_adult
97,churn,yes,leisure,double,4900.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,50,M,2.857142857142857,3.2,2.6,3.0,2.5,2,Mid_adult
98,nochurn,yes,business,single,4994.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,53,M,4.214285714285714,4.2,4.4,3.5,4.5,2,Mid_adult
99,churn,no,business,single,5310.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,40,F,3.7142857142857144,3.8,4.0,3.5,3.0,2,Mid_adult
100,nochurn,yes,business,single,3229.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,35,M,3.2857142857142856,3.4,3.4,3.0,3.0,1,Young_adult
101,churn,no,business,suite,5255.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,50,F,2.4285714285714284,2.6,2.0,2.5,3.0,2,Mid_adult
102,churn,yes,business,single,4884.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,43,M,1.6428571428571428,2.0,1.6,1.5,1.0,2,Mid_adult
103,churn,yes,leisure,double,4932.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,54,M,3.0714285714285716,3.2,2.8,3.0,3.5,2,Mid_adult
104,churn,yes,business,single,4785.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,30,M,3.357142857142857,3.6,3.2,3.5,3.0,2,Young_adult
105,churn,no,business,single,5265.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,40,F,3.7857142857142856,3.6,4.0,4.0,3.5,2,Mid_adult
106,churn,yes,leisure,double,4956.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,46,M,2.7857142857142856,3.2,2.4,3.0,2.5,2,Mid_adult
107,churn,no,business,double,4739.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,28,F,2.357142857142857,2.2,2.2,1.5,4.0,1,Young_adult
108,nochurn,yes,business,single,4439.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,31,F,3.7857142857142856,4.2,4.0,3.5,2.5,1,Young_adult
109,nochurn,yes,business,single,5390.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,48,M,3.7142857142857144,3.4,3.6,5.0,3.5,2,Mid_adult
110,nochurn,yes,leisure,double,5052.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,21,F,2.7857142857142856,2.8,3.2,1.5,3.0,2,Young_adult
111,nochurn,no,business,single,4613.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0,58,M,3.5,3.8,3.6,3.5,2.5,1,Older_adult
112,churn,no,business,double,5238.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,18,F,1.9285714285714286,2.0,2.2,1.0,2.0,2,Young_adult
113,churn,yes,business,single,4412.0,1.0,5.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,63,M,2.857142857142857,2.4,3.0,2.5,4.0,1,Older_adult
114,churn,no,business,single,5091.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,40,F,2.9285714285714284,3.0,2.8,2.5,3.5,2,Mid_adult
115,churn,yes,business,double,6573.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,60,F,2.9285714285714284,3.0,3.2,2.0,3.0,2,Older_adult
116,nochurn,yes,business,single,4142.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,42,F,3.0714285714285716,2.8,3.2,4.5,2.0,1,Mid_adult
117,nochurn,yes,leisure,double,6129.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,60,F,3.7857142857142856,3.8,3.8,3.5,4.0,2,Older_adult
118,nochurn,yes,business,single,4663.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,37,F,3.642857142857143,3.6,3.8,3.5,3.5,1,Mid_adult
119,churn,no,business,double,4504.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,36,F,1.7857142857142858,1.8,1.8,1.5,2.0,1,Mid_adult
120,churn,no,business,double,5107.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,4.0,5.0,19,F,3.2142857142857144,3.2,3.0,4.0,3.0,2,Young_adult
121,nochurn,yes,leisure,double,4998.0,0.0,4.0,0.0,3.0,5.0,0.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,45,M,3.0714285714285716,2.2,4.2,2.5,3.0,2,Mid_adult
